term_id	term_name	term_source	He_down	He_up	Lind_down	Lind_up	Car(Aae)_down	Car(Aae)_up	Bai_F_abd_down	Bai_F_abd_up	Bai_F_head_down	Bai_F_head_up	Bai_M_abd_down	Bai_M_abd_up	Bai_M_head_down	Bai_M_head_up	He_down_adj_pvalue	He_up_adj_pvalue	Lind_down_adj_pvalue	Lind_up_adj_pvalue	Car(Aae)_down_adj_pvalue	Car(Aae)_up_adj_pvalue	Bai_F_abd_down_adj_pvalue	Bai_F_abd_up_adj_pvalue	Bai_F_head_down_adj_pvalue	Bai_F_head_up_adj_pvalue	Bai_M_abd_down_adj_pvalue	Bai_M_abd_up_adj_pvalue	Bai_M_head_down_adj_pvalue	Bai_M_head_up_adj_pvalue
GO:0022836	gated channel activity	GO:MF	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0.13441654870200787	1	1	1	1	0.15161944884835735	1	1	1	1	1	1	1	1
GO:0020037	heme binding	GO:MF	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0.13441654870200787	1	1	0.14421704920444248	1	0.17574373639673063	1	1	0.00010575510828068512	1	0.03136825295092335	1	0.00012882676868424724	1
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:MF	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0.14319578554779294	1	1	0.16293955283486447	1	1	1	1	0.00022677332752171097	1	2.2357871278907618e-7	1	0.0005286535531507355	1
GO:0015267	channel activity	GO:MF	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0.14319578554779294	1	1	1	1	0.17574373639673063	1	1	1	1	1	1	1	1
GO:0022803	passive transmembrane transporter activity	GO:MF	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0.14319578554779294	1	1	1	1	0.17574373639673063	1	1	1	1	1	1	1	1
GO:0005216	ion channel activity	GO:MF	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0.14319578554779294	1	1	1	1	0.17574373639673063	1	1	1	1	1	1	1	1
GO:1901681	sulfur compound binding	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14319578554779294	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	GO:MF	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0.14319578554779294	1	1	1	1	1	1	1	0.016150953083828728	1	1	1	0.000046779616533964785	1
GO:0008237	metallopeptidase activity	GO:MF	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0.14755278831612112	1	1	0.1752404118515097	0.02708136122441932	1	1	1	1	1	1	1	0.041916441536058065	1
GO:0050976	detection of mechanical stimulus involved in sensory perception of touch	GO:BP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0995816308851866	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0010996	response to auditory stimulus	GO:BP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0995816308851866	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0003012	muscle system process	GO:BP	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0995816308851866	1	1	1	1	1	1	5.518160351424891e-11	1	1	1	1.7190322938469598e-12	1	1
GO:0001964	startle response	GO:BP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0995816308851866	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0071260	cellular response to mechanical stimulus	GO:BP	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0995816308851866	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0050974	detection of mechanical stimulus involved in sensory perception	GO:BP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10371313828012524	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0050975	sensory perception of touch	GO:BP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10886157438521617	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0007638	mechanosensory behavior	GO:BP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10886157438521617	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0050982	detection of mechanical stimulus	GO:BP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11747125675567871	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0050905	neuromuscular process	GO:BP	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0.11814206547604378	1	1	1	1	1	1	0.005115263575108029	1	1	1	0.0008380742705393972	1	1
GO:0089717	spanning component of membrane	GO:CC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036726477376251454	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0044214	spanning component of plasma membrane	GO:CC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036726477376251454	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0030312	external encapsulating structure	GO:CC	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.11896447878988847	1	1	1	1	1	1	0.000023661389509852628	1	1	1	1	1	1
GO:0031012	extracellular matrix	GO:CC	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.11896447878988847	1	1	1	1	1	1	0.0000053918664216426744	1	1	1	1	1	1
TF:M07709	Factor: checkpoint; motif: ATGTAAACAAW	TF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013622069584906651	1	1	1	1	1	1	1	1	1	1	1	1	1
TF:M07731	Factor: pnr; motif: NGATAAGATAASN	TF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11882317082621473	1	1	1	1	1	1	1	1	1	1	1	1	1
TF:M07878	Factor: toy; motif: NTYACGCWTGANTGCRCNN	TF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11882317082621473	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0016722	oxidoreductase activity, acting on metal ions	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.039370167556107394	1	1	1	1	1	1	1	1	1	1	1	1
GO:0008447	L-ascorbate oxidase activity	GO:MF	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0.08886810102902598	1	1	1	1	1	1	1	0.045355330668706006	1	1	1	1
GO:0097602	cullin family protein binding	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09948931574376399	1	1	1	1	1	1	1	1	1	1	1	1
GO:0050664	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09948931574376399	1	1	1	1	1	1	1	1	1	1	1	1
GO:0016682	oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor	GO:MF	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0.09948931574376399	1	1	1	1	1	1	1	0.049383936009084195	0.004533501573297764	1	1	1
GO:0000293	ferric-chelate reductase activity	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09948931574376399	1	1	1	1	1	1	1	1	1	1	1	1
GO:0015293	symporter activity	GO:MF	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0.09948931574376399	1	0.07388941394865627	1	1	1	1	1	1	1	1	1	1
GO:0016175	superoxide-generating NAD(P)H oxidase activity	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09948931574376399	1	1	1	1	1	1	1	1	1	1	1	1
GO:0005112	Notch binding	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09948931574376399	1	1	1	1	1	1	1	1	1	1	1	1
GO:0019003	GDP binding	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10752192103294628	1	1	1	1	1	1	1	1	1	1	1	1
GO:0008061	chitin binding	GO:MF	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0.10752192103294628	1	0.21876742265583643	1	1	1	1	1	1	1	1	1	1
GO:0004322	ferroxidase activity	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10879177304749862	1	1	1	1	1	1	1	1	1	1	1	1
GO:0016724	oxidoreductase activity, acting on metal ions, oxygen as acceptor	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10879177304749862	1	1	1	1	1	1	1	1	1	1	1	1
GO:0003735	structural constituent of ribosome	GO:MF	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0.11693171188026177	1	1	1	1	1	1	2.9968603856108616e-17	1	1	1	1	1
GO:0015291	secondary active transmembrane transporter activity	GO:MF	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0.14653561463181308	1	0.06925638032419187	1	1	1	1	1	1	1	1	1	1
GO:0009415	response to water	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09203917281421929	1	1	1	1	1	1	1	1	1	1	1	1
GO:0051597	response to methylmercury	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09505266266572564	1	1	1	1	1	1	1	1	1	1	1	1
GO:0006826	iron ion transport	GO:BP	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0.09505266266572564	1	1	1	1	1	1	1	0.045869907243404555	1	1	1	1
GO:1902064	regulation of transcription from RNA polymerase II promoter involved in spermatogenesis	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10078578308237574	1	1	1	1	1	1	1	1	1	1	1	1
GO:0001101	response to acid chemical	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1036388078782906	1	1	1	1	1	1	1	1	1	1	1	1
GO:0046689	response to mercury ion	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0.1036388078782906	1	1	1	1	1	1	1	1	1	1	0.04152964032353468	1
GO:0055072	iron ion homeostasis	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1036388078782906	1	1	1	1	1	1	1	1	1	1	1	1
GO:0033215	reductive iron assimilation	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1075232074719514	1	1	1	1	1	1	1	1	1	1	1	1
GO:0055076	transition metal ion homeostasis	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0008052	sensory organ boundary specification	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0106024	negative regulation of pupariation	GO:BP	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	0.006833810238939808	1	1	1	1	1	1	1
GO:0098730	male germline stem cell symmetric division	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0000041	transition metal ion transport	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0009270	response to humidity	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0009414	response to water deprivation	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0098729	germline stem cell symmetric division	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0048581	negative regulation of post-embryonic development	GO:BP	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	0.006833810238939808	1	1	1	1	1	1	1
GO:0016360	sensory organ precursor cell fate determination	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0035260	internal genitalia morphogenesis	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0042554	superoxide anion generation	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0043950	positive regulation of cAMP-mediated signaling	GO:BP	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0.10778191641799682	1	0.18981009408838834	1	1	0.006833810238939808	1	1	1	1	1	1	1
GO:0060582	cell fate determination involved in pattern specification	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0045933	positive regulation of muscle contraction	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0045987	positive regulation of smooth muscle contraction	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0033212	iron import into cell	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0045167	asymmetric protein localization involved in cell fate determination	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10778191641799682	1	1	1	1	1	1	1	1	1	1	1	1
GO:0034644	cellular response to UV	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11351295980583985	1	1	1	1	1	1	1	1	1	1	1	1
GO:0006940	regulation of smooth muscle contraction	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11351295980583985	1	1	1	1	1	1	1	1	1	1	1	1
GO:0106023	regulation of pupariation	GO:BP	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0.11351295980583985	1	1	1	1	0.009144855382826632	1	1	1	1	1	1	1
GO:0046716	muscle cell cellular homeostasis	GO:BP	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0.11351295980583985	1	1	1	1	1	0.019662838002860117	1	1	1	0.0018228542768422005	1	1
GO:0098724	symmetric stem cell division	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11351295980583985	1	1	1	1	1	1	1	1	1	1	1	1
GO:0009409	response to cold	GO:BP	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.11351295980583985	0.08234837933079336	1	1	1	1	1	1	1	0.004002178808618313	1	0.04946735906301907	1
GO:0048804	imaginal disc-derived female genitalia morphogenesis	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1140929722062616	1	1	1	1	1	1	1	1	1	1	1	1
GO:0048807	female genitalia morphogenesis	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1140929722062616	1	1	1	1	1	1	1	1	1	1	1	1
GO:0060581	cell fate commitment involved in pattern specification	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1140929722062616	1	1	1	1	1	1	1	1	1	1	1	1
GO:0045746	negative regulation of Notch signaling pathway	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1174184703560534	1	1	1	1	1	1	1	1	1	1	1	1
GO:0098725	symmetric cell division	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.12970219842896397	1	1	1	1	1	1	1	1	1	1	1	1
GO:0010160	formation of animal organ boundary	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13257173903005556	1	1	1	1	1	1	1	1	1	1	1	1
GO:0043949	regulation of cAMP-mediated signaling	GO:BP	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0.13778306129352433	1	0.23808466022212801	1	1	0.015544261722467015	1	1	1	1	1	1	1
GO:0050850	positive regulation of calcium-mediated signaling	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0048859	formation of anatomical boundary	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0071478	cellular response to radiation	GO:BP	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	0.00009320448820868857	1	1	1	1
GO:0048645	animal organ formation	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0048580	regulation of post-embryonic development	GO:BP	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0.13778306129352433	1	1	1	1	0.0136358998817963	1	1	1	1	1	0.022244227027890414	1
GO:0104004	cellular response to environmental stimulus	GO:BP	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	0.00012730848411518421	1	1	1	1
GO:0006814	sodium ion transport	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0071214	cellular response to abiotic stimulus	GO:BP	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	0.00012730848411518421	1	1	1	1
GO:0009083	branched-chain amino acid catabolic process	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0006939	smooth muscle contraction	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0007486	imaginal disc-derived female genitalia development	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0003401	axis elongation	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0008593	regulation of Notch signaling pathway	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0009081	branched-chain amino acid metabolic process	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0002181	cytoplasmic translation	GO:BP	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1.2177053445768924e-18	1	1	1	1	1
GO:0010035	response to inorganic substance	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0030728	ovulation	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0009411	response to UV	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0030540	female genitalia development	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13778306129352433	1	1	1	1	1	1	1	1	1	1	1	1
GO:0034605	cellular response to heat	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13942782295289272	1	1	1	1	1	1	1	1	1	1	1	1
GO:0019932	second-messenger-mediated signaling	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.14269979890102943	1	1	1	1	1	1	1	1	1	1	1	1
GO:0005705	polytene chromosome interband	GO:CC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	1	1	1	1	1	1
GO:1990204	oxidoreductase complex	GO:CC	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0.142465643790213	1	1	1	1	1	1	1	1	1	0.030202527637528863	1	1
GO:0005840	ribosome	GO:CC	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0.142465643790213	1	1	1	0.09126082672060515	1	1	3.680007733970902e-18	1	1	1	1	1
GO:0005769	early endosome	GO:CC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	1	1	1	1	1	1
GO:0005947	mitochondrial alpha-ketoglutarate dehydrogenase complex	GO:CC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	1	1	1	1	1	1
GO:0022625	cytosolic large ribosomal subunit	GO:CC	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	7.986962514733535e-14	1	1	1	1	1
GO:0044391	ribosomal subunit	GO:CC	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0.142465643790213	1	1	1	0.03911582526273258	1	1	2.7218692337283476e-19	1	1	1	1	1
GO:0031901	early endosome membrane	GO:CC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	1	1	1	1	1	1
GO:0009897	external side of plasma membrane	GO:CC	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	1	0.04362363686766624	1	1	1	1
GO:0031233	intrinsic component of external side of plasma membrane	GO:CC	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	1	0.028462537229484546	1	1	1	1
GO:0010008	endosome membrane	GO:CC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	1	1	1	1	1	1
GO:0015934	large ribosomal subunit	GO:CC	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	9.572317668515318e-10	1	1	1	1	1
GO:0016324	apical plasma membrane	GO:CC	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0.142465643790213	0.0373612925593913	1	1	1	1	1	1	1	1	1	1	1
GO:0030062	mitochondrial tricarboxylic acid cycle enzyme complex	GO:CC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	1	1	1	1	1	1
GO:0017086	3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex	GO:CC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	1	1	1	1	1	1
GO:0019005	SCF ubiquitin ligase complex	GO:CC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	1	1	1	1	1	1
GO:0022626	cytosolic ribosome	GO:CC	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	5.0936550282063206e-26	1	1	1	1	1
GO:0045240	dihydrolipoyl dehydrogenase complex	GO:CC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.142465643790213	1	1	1	1	1	1	1	1	1	1	1	1
GO:0050661	NADP binding	GO:MF	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0.07191417929732588	1	1	1	1	1	0.04139189724437824	1	0.01174912041133774	1	0.003959478741120564	1
GO:0050839	cell adhesion molecule binding	GO:MF	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0.07191417929732588	0.17630607756052566	1	1	1	1	1	1	1	1	1	1
