term_id	term_name	term_source	He_down	He_up	Lind_down	Lind_up	Car_down	Car_up	Bai_F_abd_down	Bai_F_abd_up	Bai_F_head_down	Bai_F_head_up	Bai_M_abd_down	Bai_M_abd_up	Bai_M_head_down	Bai_M_head_up	Mean_adj_pvalue	He_down_adj_pvalue	He_up_adj_pvalue	Lind_down_adj_pvalue	Lind_up_adj_pvalue	Car_down_adj_pvalue	Car_up_adj_pvalue	Bai_F_abd_down_adj_pvalue	Bai_F_abd_up_adj_pvalue	Bai_F_head_down_adj_pvalue	Bai_F_head_up_adj_pvalue	Bai_M_abd_down_adj_pvalue	Bai_M_abd_up_adj_pvalue	Bai_M_head_down_adj_pvalue	Bai_M_head_up_adj_pvalue
GO:0015085	calcium ion transmembrane transporter activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.127932655	0.356883616	0.292460315	1	1	0.215981892	1	1	0.190674372	0.506767639	1	1	0.127932655	1	1
GO:0016903	"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:MF	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0.023759247	0.356883616	1	1	0.516075943	1	1	1	0.609801404	0.042161182	1	0.212478572	1	0.005357312	1
GO:1901681	sulfur compound binding	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.356883616	1	1	1	1	1	1	1	0.481549884	1	0.614452176	1	0.21451422	1
GO:0043167	ion binding	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.366048961	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0004222	metalloendopeptidase activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.025269703	0.366048961	1	1	0.334449841	0.369166991	1	1	0.452784188	0.24269247	1	0.355347821	1	0.025269703	1
GO:0019842	vitamin binding	GO:MF	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0.06728188	0.366048961	1	1	0.640487126	1	1	1	0.752608304	0.249706311	1	0.075845094	1	0.058718667	1
GO:0016298	lipase activity	GO:MF	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0.024584236	0.410683118	1	0.686481729	1	1	0.447976369	0.58845616	1	0.661363782	0.205486689	0.003013079	1	0.046155394	1
GO:0008010	structural constituent of chitin-based larval cuticle	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.42066303	1	1	1	1	1	1	0.215192738	1	1	0.515781329	1	0.831207445	1
GO:0005506	iron ion binding	GO:MF	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0.001197145	0.42066303	1	1	0.335735475	1	0.324605094	1	1	0.000300053	1	0.000460916	0.650852427	0.002830466	1
GO:0008237	metallopeptidase activity	GO:MF	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0.105614852	0.42066303	1	1	0.254075618	0.230217065	1	0.745700634	0.154322416	0.140104778	1	0.269095365	1	0.071124926	1
GO:0016705	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	GO:MF	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0.001911281	0.42066303	1	0.857145608	0.39148092	0.578283558	0.317590695	1	1	0.000605157	1	1.97E-07	0.680852287	0.00512849	1
GO:0016491	oxidoreductase activity	GO:MF	0	0	0	0	0	0	0	0	1	0	1	0	1	0	5.76714E-10	0.42066303	0.324371806	0.422531838	0.334449841	0.94201545	0.57722603	0.995418497	0.352668026	2.29E-13	0.254366349	1.73E-09	0.626992663	4.57E-16	1
GO:0005214	structural constituent of chitin-based cuticle	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.42066303	1	1	1	1	1	1	0.190837023	1	1	0.666054251	1	0.899722008	1
GO:0020037	heme binding	GO:MF	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0.020329821	0.42066303	1	1	0.32036415	1	0.317590695	1	0.453205022	0.000162961	1	0.060415983	0.627027659	0.000410517	1
GO:0005549	odorant binding	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.006337095	0.42066303	1	1	1	0.578283558	1	1	0.852109966	0.711899118	1	0.515781329	1	0.006337095	1
GO:0042302	structural constituent of cuticle	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.42066303	1	1	1	0.606432402	1	1	0.215192738	1	1	0.702899491	1	0.681701789	1
GO:0052689	carboxylic ester hydrolase activity	GO:MF	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0.003329736	0.42066303	1	0.468852728	1	0.433925148	0.57722603	0.700265108	0.92300623	0.470395408	1	0.00618308	1	0.000476391	1
GO:0046906	tetrapyrrole binding	GO:MF	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0.020329821	0.42066303	1	1	0.32036415	1	0.317590695	1	0.453205022	0.000162961	1	0.060415983	0.627045666	0.000410517	1
GO:0004497	monooxygenase activity	GO:MF	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0.000276508	0.42066303	1	0.747353034	0.254178842	0.577719829	0.317590695	1	1	0.000300053	1	5.30787E-05	0.578323192	0.000476391	1
GO:0005261	cation channel activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.095863836	0.42066303	0.517609693	1	0.857841713	0.436615119	1	0.734780865	0.227453072	1	1	1	0.095863836	1	1
GO:0005488	binding	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.42448968	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0046873	metal ion transmembrane transporter activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.057062675	0.42448968	0.20593272	0.901030449	0.236765211	0.441764912	1	0.538869132	0.202251049	0.882356725	1	1	0.057062675	1	1
GO:0022836	gated channel activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.42448968	1	1	0.895898415	1	1	0.523448865	0.427217135	0.873539671	1	1	0.183444651	1	1
GO:0005216	ion channel activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.144023422	0.507841106	0.586931411	1	0.763023399	0.578283558	1	0.619908838	0.427217135	0.930581511	1	1	0.144023422	1	1
GO:0022803	passive transmembrane transporter activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.507841106	0.586931411	1	0.794707275	0.578283558	1	0.644887568	0.453205022	0.768902431	1	1	0.160952427	0.990948731	1
GO:0015267	channel activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.507841106	0.586931411	1	0.794707275	0.578283558	1	0.644887568	0.453205022	0.768902431	1	1	0.160952427	0.990948731	1
GO:0022890	inorganic cation transmembrane transporter activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.113139193	0.55727995	0.300030608	0.824762675	0.334449841	0.578283558	1	0.708254891	0.423561991	0.964328283	1	1	0.113139193	1	1
GO:0008092	cytoskeletal protein binding	GO:MF	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1.2806E-06	0.564390178	1	0.969261695	0.380692947	1	0.678243437	0.543227753	1.98987E-06	0.873084188	1	1	5.71E-07	0.86422912	1
GO:0008324	cation transmembrane transporter activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.124431954	0.564390178	0.318872879	0.844687043	0.359886226	0.578283558	1	0.722229666	0.441619227	0.970302947	1	1	0.124431954	1	1
GO:0030234	enzyme regulator activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.587894967	1	1	0.98024833	1	0.678243437	0.583229976	0.211195034	1	0.397833405	0.947191381	0.461291572	0.761559695	1
GO:0098772	molecular function regulator	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.609057547	1	1	0.985986433	1	0.678243437	0.615814365	0.233213287	1	0.413983061	0.978637585	0.501649792	0.808379954	1
GO:0004175	endopeptidase activity	GO:MF	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0.016114746	0.62780248	1	0.936266742	0.388634643	0.30233224	0.170292176	0.663878938	0.632548813	0.293473507	0.43966332	0.004526264	0.742873201	0.027703227	1
GO:0015318	inorganic molecular entity transmembrane transporter activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.119012459	0.62780248	0.415894812	0.933500637	0.25850496	0.719091841	1	0.657926852	0.501079922	0.930581511	1	1	0.119012459	1	1
GO:0000981	"DNA-binding transcription factor activity, RNA polymerase II-specific"	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.642319747	1	0.950608642	0.895898415	1	1	0.722229666	1	1	1	1	1	1	1
GO:0005198	structural molecule activity	GO:MF	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.136406157	0.642319747	0.447625588	0.663093288	0.960725885	0.814902806	1	0.971485988	0.136406157	0.694546226	0.457491288	1	0.396007958	0.975830062	1
GO:0015075	ion transmembrane transporter activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.144023422	0.642319747	0.452532617	0.842618364	0.201671677	0.745996238	1	0.712858997	0.573827578	0.957475767	1	1	0.144023422	1	1
GO:0016788	"hydrolase activity, acting on ester bonds"	GO:MF	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0.055984917	0.665332111	1	0.168971925	0.645511689	0.790694678	0.8927678	0.250807944	0.903451023	0.770126268	0.203576081	0.067296858	0.83547433	0.044672976	1
GO:0003700	DNA-binding transcription factor activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.684920451	1	0.969261695	0.939873533	1	0.772308593	0.644887568	1	1	1	1	1	1	1
GO:0008233	peptidase activity	GO:MF	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0.045802068	0.704606226	0.851281659	0.824762675	0.240902726	0.08904474	0.317590695	0.543555091	0.268218047	0.275681572	0.526819356	0.000420312	0.887379035	0.047941151	1
GO:0043565	sequence-specific DNA binding	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.726288338	0.851281659	0.96983388	0.969509458	1	1	0.464891676	1	1	1	1	1	1	1
GO:0046914	transition metal ion binding	GO:MF	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0.081953616	0.74721108	0.872400153	0.901030449	0.471790818	1	0.772308593	0.409583394	0.997091774	0.046343279	0.254366349	0.117563953	0.650852427	0.157930674	1
GO:0140110	transcription regulator activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.751548143	1	0.981878875	0.94767829	1	0.849683255	0.538869132	1	1	1	1	0.995175556	1	1
GO:0022857	transmembrane transporter activity	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.142636352	0.752693235	0.142636352	0.93121945	0.169937554	0.91209029	0.93800281	0.552882315	0.453205022	0.618863063	1	0.943067506	0.377510866	1	1
GO:0005215	transporter activity	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.142636352	0.765293243	0.142636352	0.867665656	0.183428963	0.918418032	0.93800281	0.486384093	0.526037718	0.392304538	1	0.893136617	0.424691115	0.99313124	1
GO:0016787	hydrolase activity	GO:MF	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0.059991905	0.791345974	0.935785441	0.586718952	0.254075618	0.083639127	0.098225779	0.323976559	0.375257399	0.115231088	0.318937401	3.30659E-05	0.337893895	0.002830466	1
GO:0097159	organic cyclic compound binding	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.851732945	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:1901363	heterocyclic compound binding	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.851732945	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0003677	DNA binding	GO:MF	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.082702239	0.851732945	0.851281659	0.950608642	0.939873533	0.998447827	0.977669306	0.082702239	1	1	0.73756014	1	1	1	1
GO:0043168	anion binding	GO:MF	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0.091999674	0.856225446	0.935785441	0.594193307	0.441556443	0.369166991	0.93800281	0.562285296	0.778693143	0.042161182	0.73756014	1	0.160952427	0.214259033	0.141838167
GO:0003824	catalytic activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.856225446	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0036094	small molecule binding	GO:MF	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0.105567797	0.859938819	0.94356532	0.566352547	0.433784042	0.418500013	0.947493657	0.538869132	0.626571733	0.042161182	0.75635516	0.909456759	0.144558956	0.08928351	0.14626754
GO:0140096	"catalytic activity, acting on a protein"	GO:MF	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.117563953	0.893181343	0.95995804	0.950608642	0.427249136	0.248807282	0.678243437	0.342781771	0.323664428	0.903811869	0.477773672	0.117563953	0.444843846	0.887151947	0.15580501
GO:0003676	nucleic acid binding	GO:MF	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.122334387	0.946455816	0.675466998	0.193462731	0.99410432	1	1	0.122334387	1	1	0.846006416	1	1	1	1
GO:0005515	protein binding	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.969379924	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0003674	molecular_function	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0003012	muscle system process	GO:BP	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1.38173E-10	0.200308973	0.249202807	0.572106614	0.601501901	1	1	1	2.74E-10	1	1	1	1.96E-12	1	1
GO:0010996	response to auditory stimulus	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.335774677	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0001964	startle response	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.335774677	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0060361	flight	GO:BP	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1.16175E-05	0.335774677	1	1	1	1	1	1	8.25674E-06	1	1	1	1.49782E-05	1	1
GO:0003008	system process	GO:BP	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0.0474455	0.335774677	0.567095026	0.774902865	0.949093666	0.002168399	1	0.97436108	0.072711571	1	0.112721302	1	0.002180727	0.630222367	1
GO:0050974	detection of mechanical stimulus involved in sensory perception	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.335774677	1	1	1	1	1	0.203653071	1	1	1	1	1	1	1
GO:0050976	detection of mechanical stimulus involved in sensory perception of touch	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.335774677	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0071260	cellular response to mechanical stimulus	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.126319123	0.335774677	0.126319123	1	1	1	1	1	1	1	1	1	1	1	1
GO:0050975	sensory perception of touch	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.341180058	1	1	1	1	1	0.227255028	1	1	1	1	1	1	1
GO:0048168	regulation of neuronal synaptic plasticity	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.341180058	1	1	1	1	1	1	0.519715437	1	1	1	1	1	1
GO:0007638	mechanosensory behavior	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.341180058	1	1	0.453942244	1	1	1	1	1	1	1	1	1	1
GO:0050982	detection of mechanical stimulus	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.379183124	1	1	1	1	1	0.257547034	1	1	1	1	1	1	1
GO:0050905	neuromuscular process	GO:BP	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.006593742	0.390793256	1	1	1	1	1	1	0.208587894	1	1	1	0.006593742	1	1
GO:0009135	purine nucleoside diphosphate metabolic process	GO:BP	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.120622249	0.448780596	1	1	1	1	1	1	0.360867844	0.120622249	1	1	0.166712539	0.624804931	1
GO:0009179	purine ribonucleoside diphosphate metabolic process	GO:BP	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.120622249	0.448780596	1	1	1	1	1	1	0.360867844	0.120622249	1	1	0.166712539	0.624804931	1
GO:0009185	ribonucleoside diphosphate metabolic process	GO:BP	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.128837113	0.448780596	1	1	1	1	1	1	0.384215617	0.128837113	1	1	0.176262516	0.635789838	1
GO:0046031	ADP metabolic process	GO:BP	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.113833157	0.448780596	1	1	1	1	1	1	0.337625768	0.113833157	1	1	0.160280386	0.59355041	1
GO:0048167	regulation of synaptic plasticity	GO:BP	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.149908483	0.448780596	1	1	1	1	1	1	0.149908483	1	1	1	1	1	1
GO:0006165	nucleoside diphosphate phosphorylation	GO:BP	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0.130132426	0.448780596	1	1	1	1	1	0.135774924	0.374411796	0.124489928	1	1	0.172933575	0.631403596	1
GO:0006096	glycolytic process	GO:BP	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.124165404	0.448780596	1	1	1	1	1	1	0.322083388	0.103260667	1	1	0.145070141	0.572531113	1
GO:0006099	tricarboxylic acid cycle	GO:BP	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.048533423	0.448780596	1	1	1	1	1	1	0.048533423	0.50768716	1	1	0.188578663	1	1
GO:0046939	nucleotide phosphorylation	GO:BP	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0.134270855	0.448780596	1	1	1	1	1	0.139704597	0.384215617	0.128837113	1	1	0.176262516	0.635789838	1
GO:0006757	ATP generation from ADP	GO:BP	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.124165404	0.448780596	1	1	1	1	1	1	0.322083388	0.103260667	1	1	0.145070141	0.572531113	1
GO:0009612	response to mechanical stimulus	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.451675494	0.24938628	1	0.605924383	1	1	0.407501875	0.743851579	1	1	1	1	1	1
GO:0006090	pyruvate metabolic process	GO:BP	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.006826108	0.460807399	1	1	0.290828552	1	1	1	0.463506879	0.006826108	1	1	0.226668689	0.304705585	1
GO:0030239	myofibril assembly	GO:BP	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1.60269E-16	0.460807399	1	1	1	1	1	1	4.51E-19	1	1	1	3.20E-16	1	1
GO:0055002	striated muscle cell development	GO:BP	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1.60269E-16	0.460807399	1	1	1	1	1	1	4.51E-19	1	1	1	3.20E-16	1	1
GO:0009132	nucleoside diphosphate metabolic process	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.460807399	1	1	1	1	1	0.15984181	0.457904033	0.165872258	1	1	0.215357211	0.695663939	1
GO:0019722	calcium-mediated signaling	GO:BP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.133382654	0.462605403	0.283198561	1	1	1	1	1	0.23001746	1	0.133382654	1	0.536501634	1	1
GO:0050954	sensory perception of mechanical stimulus	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.462980004	0.350251799	0.780138342	1	1	1	0.576987037	0.900134217	1	1	1	1	1	1
GO:0104004	cellular response to environmental stimulus	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.120499259	0.462980004	0.120499259	1	0.74327737	1	1	0.571268521	1	1	0.178185534	1	1	0.902218457	1
GO:0009581	detection of external stimulus	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.462980004	1	1	1	4.71E+05	1	0.581023255	1	0.805166887	0.178185534	1	1	0.919699757	1
GO:1901575	organic substance catabolic process	GO:BP	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0.037961914	0.462980004	0.678051835	0.760274722	0.547159968	1	1	0.546462069	0.999999979	0.001357277	0.406593604	0.112511834	0.999945883	1.66303E-05	1
GO:0016052	carbohydrate catabolic process	GO:BP	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0.015516925	0.462980004	1	1	0.733856343	1	1	1	0.610340477	0.029839591	1	0.906865722	0.306967531	0.001194258	1
GO:1903050	regulation of proteolysis involved in cellular protein catabolic process	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.462980004	1	1	0.744052295	1	1	0.266507572	1	1	1	1	1	1	1
GO:2000058	regulation of ubiquitin-dependent protein catabolic process	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.462980004	1	1	1	1	1	0.217695681	1	1	1	1	1	1	1
GO:0019932	second-messenger-mediated signaling	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.126319123	0.462980004	0.126319123	1	0.751919732	1	1	0.581023255	0.437591595	1	0.178185534	1	0.647166899	1	1
GO:1903362	regulation of cellular protein catabolic process	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.462980004	1	1	0.751919732	1	1	0.281170117	1	1	1	1	1	1	1
GO:0030198	extracellular matrix organization	GO:BP	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.14057075	0.462980004	1	1	0.461551178	1	1	1	0.14057075	1	1	1	0.599153242	1	1
GO:0009582	detection of abiotic stimulus	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.462980004	1	1	1	4.71E+05	1	0.581023255	1	0.805166887	0.178185534	1	1	0.919699757	1
GO:0006816	calcium ion transport	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.462980004	0.350251799	1	1	0.297891095	1	1	0.418187906	0.797188463	1	1	0.322976654	1	1
GO:0071214	cellular response to abiotic stimulus	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.120499259	0.462980004	0.120499259	1	0.74327737	1	1	0.571268521	1	1	0.178185534	1	1	0.902218457	1
GO:0043062	extracellular structure organization	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.462980004	1	1	0.518938613	1	1	0.581023255	0.208587894	1	1	1	0.645093562	1	1
GO:0055001	muscle cell development	GO:BP	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3.36723E-16	0.462980004	1	1	1	1	1	1	1.61E-18	1	1	1	6.72E-16	1	1
GO:0007605	sensory perception of sound	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.462980004	0.322136207	0.733764073	1	1	1	1	0.860977573	1	1	1	1	1	1
GO:0007600	sensory perception	GO:BP	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0.03468081	0.462980004	0.683344656	0.999935807	0.999426557	0.001652485	1	0.959553699	0.97639526	1	0.067709134	1	0.862237196	0.467723526	1
GO:0007419	ventral cord development	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.462980004	1	1	0.721325835	1	1	1	0.601081878	1	1	1	1	1	1
GO:0070588	calcium ion transmembrane transport	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.462980004	0.311875898	1	1	0.26987269	1	1	0.291311307	0.688114103	1	1	0.273747151	1	1
GO:0051146	striated muscle cell differentiation	GO:BP	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2.58752E-13	0.46360772	1	0.424747791	1	1	1	0.585574026	2.42E-14	0.813493879	1	1	4.93E-13	0.928446172	1
GO:0055114	obsolete oxidation-reduction process	GO:BP	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1.39423E-09	0.470375649	0.225063223	0.619564604	0.328399642	0.995628787	0.561639011	1	0.544728628	1.45E-13	0.186172638	4.18E-09	0.569923882	2.09E-15	1
GO:0071496	cellular response to external stimulus	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.49342051	0.373022468	1	0.552958969	1	1	1	1	1	1	1	0.678104393	0.957270314	1
GO:0031032	actomyosin structure organization	GO:BP	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3.83348E-14	0.49342051	1	1	0.77131322	1	1	0.613094481	5.54E-16	1	1	1	7.61E-14	1	1
GO:0042692	muscle cell differentiation	GO:BP	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1.45224E-12	0.497876473	1	0.480664917	1	1	1	0.621191951	3.31E-13	0.868581289	1	1	2.57E-12	0.96632072	1
GO:0042176	regulation of protein catabolic process	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.511081641	1	1	0.792340392	1	1	0.165163176	1	1	1	1	1	1	1
GO:0030001	metal ion transport	GO:BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.54982812	0.399897085	1	0.600608745	0.382007907	1	1	0.57312483	0.914497548	1	1	0.422988149	1	1
