name	Lind_up	Lind_down	He_up	He_down	Bai_F_abd_up	Bai_F_abd_down	Bai_F_head_up	Bai_F_head_down	Bai_M_abd_up	Bai_M_abd_down	Bai_M_head_up	Bai_M_head_down	Det_up	Det_down	Car_up	Car_down
Grip91	1,26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG4842	1,26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG3690	1,24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g	1,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG34195	1,18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mus101	1,18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nna1	1,17	0	0	0	0	0	0	0	0	0	0	0	0,490229641	0	0	0
Sox102F	1,15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG2993	1,14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sand	1,12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG9941	1,11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mal-B2	1,1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG15865	1,1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG7860	1,09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fuss	1,07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp6a14	1,06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG15784	1,01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG31999	1,01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG7882	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dgo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG11699	0,99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nolo	0,98	0	0	-1,33	0	0	0	0	0	0	0	0	0	0	0	0
CG15628	0,95	0	0	0	0	0	0	0	1,17	0	0	0	0	0	0	0
CG7720	0,95	0	0	0	0,75	0	0	0	0	0	0	0	0	0	0	0
RhoU	0,95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FipoQ	0,95	0	0	0	0	0	0	0	0	0	0	0	0,703937262	0	0	0
CG14292	0,94	0	1,3	0	0	0	0	0	0	0	0	0	0,582961439	0	0	0
cib	0,94	0	0	0	0	-0,55	0	0	0	0	0	0	0	0	0	0
spartin	0,94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG9717	0,93	0	0	0	0	0	0	0	0	0	0	0	0,896500126	0	0	0
CG11134	0,92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG6656	0,92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mur18B	0,89	0	1,55	0	0	0	0	0	0	-0,49	0	0	0	0	0	0
CG11151	0,89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gprk2	0,86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIG-A	0,85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nxf2	0,83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ance-5	0,82	0	0	0	0	0	0	-0,73	0	0	0	-0,89	0	0	0	-10
CG8097	0,77	0	0	0	0	-0,85	0	0	0	0	0	0	0	0	0	0
GstE8	0,77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
modSP	0,75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG11241	0,74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG31262	0,72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ana2	0,7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG5316	0,68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG30382	0,68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mthl5	0,64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ire1	0,64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cul6	0,63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vari	0,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG31075	0,61	0	0	0	0	0	0	0	0	0	0	-0,52	0	0	0	0
CG6293	0,61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phr	0,59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fhos	0,59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps39	0,56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG32486	0,56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpin	0,54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rec	0,54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nepl3	0,54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG5613	0,53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Keap1	0,53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akr1B	0,52	0	0	0	0	0	0	-0,61	0	0	0	-0,75	0	0	0	0
CG7110	0,51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrch	0,49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RpII140	0,49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mvl	0,45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG5194	0,45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG32638	0,43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npl4	0,42	0	0	0	0	-0,43	0	0	0	0	0	0	0	0	0	0
kcc	0,41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG9795	0,41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GlcAT-S	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acph-1	0,38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PhKgamma	0,36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mus301	0,35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG11357	0,34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pih1D1	0,34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpc1	0,33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acox57D-p	0,32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG8671	0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPCAT	0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG4570	0	-8,21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
narya	0	-5,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map205	0	-5,35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR43309	0	-4,57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG7900	0	-4,55	0	0	0	-0,47	0	0	0	0	0	0	0	0	0	0
asRNA:CR45600	0	-4,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG7542	0	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oseg5	0	-3,99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR43960	0	-3,73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG17470	0	-3,46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG12592	0	-3,29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG33926	0	-3,23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oatp58Db	0	-3,11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drsl4	0	-2,71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mtt	0	-2,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG8027	0	-2,65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phr6-4	0	-2,64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GILT3	0	-2,59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rst	0	-2,44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vha100-4	0	-2,14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugt36E1	0	-2,12	0,55	0	0	0	0	0	0	0	0	0	0	0	0	0
kirre	0	-2,07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UGP	0	-2,06	0	0	0	0	0	0	0	-0,61	0	-0,59	0	0	0	0
CG5767	0	-1,99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ten-a	0	-1,95	0	0	0	0	0	0	0	0	0	0	0,706429041	0	0	0
CG1946	0	-1,81	0	0	0	0	0	0	0	0	0	0	0	0	0	0
antdh	0	-1,72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sclp	0	-1,68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odc1	0	-1,65	0	0	0	0	0	0	0	0	0	-0,79	0	0	0	0
sosie	0	-1,63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fancm	0	-1,63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG32834	0	-1,57	0	0	0	0	0	0	0	0	0	0	0,936394239	0	0	0
CG43255	0	-1,48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG4363	0	-1,45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG12112	0	-1,44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rhi	0	-1,44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde6	0	-1,43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
whe	0	-1,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsp23	0	-1,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MtnA	0	-1,38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR14033	0	-1,29	1,31	0	0	0	0	0	0	0	0	0	0	0	0	0
CG1941	0	-1,28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG4733	0	-1,27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oseg4	0	-1,27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10550	0	-1,24	0	0	0	0	0	0	0	0	0	0	0,750157321	0	0	0
DNaseII	0	-1,23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG34330	0	-1,21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GstD1	0	-1,14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG32243	0	-1,11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ady43A	0	-1,08	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG4860	0	-1,02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
qtc	0	-1,02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kermit	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG17186	0	-0,98	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG8229	0	-0,96	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG1827	0	-0,95	0	0	0	0	0	0	0	-0,62	0	0	0	0	0	0
CG11852	0	-0,93	0	0	0	0	0	0	0	0	0	0	0,816863534	0	0	0
CG9344	0	-0,93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c(3)G	0	-0,89	0	0	1,07	0	0	0	0	0	0	0	0	0	0	0
CG14102	0	-0,86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GstZ1	0	-0,85	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RpS5b	0	-0,85	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IntS12	0	-0,85	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10654	0	-0,84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsp26	0	-0,8	0	0	0	-1,02	0	0	0	-1,06	0	0	0	0	0	0
lncRNA:CR31044	0	-0,79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10623	0	-0,78	0	0	0	-0,89	0	0	0	0	0	0	0	0	0	0
RpS9	0	-0,71	0	0	0	0	0	-0,49	0	0	0	0	0	0	0	0
CG12075	0	-0,71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRpL37	0	-0,71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kar	0	-0,71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG12338	0	-0,7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG7565	0	-0,7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10344	0	-0,7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Art8	0	-0,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG1360	0	-0,66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG2200	0	-0,66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ntc	0	-0,65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nha1	0	-0,64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR32027	0	-0,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG4820	0	-0,61	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Urod	0	-0,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG13667	0	-0,59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mldr	0	-0,58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG3732	0	-0,57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nxf3	0	-0,56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hrb27C	0	-0,56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smyd5	0	-0,55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhpr	0	-0,53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG31038	0	-0,52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fdx2	0	-0,51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG12321	0	-0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rai1	0	-0,49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RpLP0	0	-0,48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TyrRS-m	0	-0,48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ip259	0	-0,47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mEFTu2	0	-0,47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG5989	0	-0,47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alpha-Est1	0	-0,47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jheh2	0	-0,46	0	0	0	0	0	0	0	-0,49	0	0	0	0	0	0
scramb1	0	-0,44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reg-5	0	-0,42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sas10	0	-0,41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l(1)G0320	0	-0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SerRS-m	0	-0,39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rswl	0	-0,37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsp66E	0	-0,37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG15812	0	-0,35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AsnRS	0	-0,31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG6937	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	-0,402790926	0	0
AdSL	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r-l	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG2972	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14805	0	-0,29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RpL22-like	0	0	3,2	0	0	0	0	0	0	0	0	0	0	0	0	0
asRNA:CR43614	0	0	3,04	0	0	0	0	0	0	0	0	0	0	0	0	0
uif	0	0	2,43	0	0,66	0	0	0	0	0	0	0	0,726514742	0	0	0
SkpC	0	0	1,72	0	0	0	0	0	0	0	0	0	0	0	0	0
dany	0	0	1,67	0	0	0	0	0	0	0	0	0	0	0	0	0
TotA	0	0	1,56	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44357	0	0	1,55	0	0	0	0	0	0	0	0	0	0,906195564	0	0	0
CG13101	0	0	1,54	0	0	0	0	0	0	0	0	0	0	0	0	0
CG42857	0	0	1,5	0	0	0	0	0	0	0	0	0	0	0	0	0
CG13375	0	0	1,49	0	0	0	0	0	0	0	0	0	0	0	0	0
CG15408	0	0	1,48	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14245	0	0	1,3	0	0	0	0	0	0	0	0	0	0	0	0	0
CG6602	0	0	1,26	0	0	0	0	0	0	-0,63	0	0	0	0	0	0
CG17752	0	0	1,23	0	0	0	0	0	0	0	0	0	0	0	0	0
tut	0	0	1,13	0	0	0	0	0	0	0	0	0	0	0	0	0
Mco1	0	0	1,13	0	0	0	0,66	0	0	0	0	0	0	0	0	0
CG15279	0	0	1,06	0	0	0	0	0	0	0	0	0	0	0	0	0
CG42235	0	0	1,05	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14346	0	0	1,04	0	0	0	0	0	0	0	0	0	0	0	0	0
CG3270	0	0	1	0	0	0	0	0	0	0	0	-0,73	0	0	0	0
Nox	0	0	0,87	0	0	0	0	0	0	0	0	0	0	0	0	0
wtrw	0	0	0,87	0	0	0	0	0	0	0	0	0	0	0	0	0
otk2	0	0	0,85	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR43250	0	0	0,85	0	0	0	0	0	0	0	0	0	0	0	0	0
jigr1	0	0	0,77	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilp8	0	0	0,67	0	0	-1,72	0	0	0	0	0	0	0	0	0	0
CG17691	0	0	0,58	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10237	0	0	0,58	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpr76Bd	0	0	0	-2,24	0	0	0	0	0	0	0	0	0	0	0	0
CG18258	0	0	0	-2,18	0	0	0	0	0	0	0	0	0,749583337	0	0	0
nompC	0	0	0	-1,77	0	0	0	0	0	0	0	0	0	0	0	0
Cyp6a13	0	0	0	-1,37	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44285	0	0	0	-1,31	0	0	0	0	0	0	0	0	0	0	0	0
CG40298	0	0	0	-1,25	0	0	0	0	0	0	0	0	0	0	0	0
Lime	0	0	0	-1,16	0	0	0	0	0	0	0	0	0	0	0	0
CG5111	0	0	0	-1,07	0	0	0	0	0	0	0	0	0	0	0	0
CG34445	0	0	0	-1,05	0	0	0	0	0	0	0	0	0	0	0	0
Obp44a	0	0	0	-1,05	0	0	0	0	0	0	0	0	0	0	0	0
TpnC73F	0	0	0	-1,02	0,76	0	0	0	0	0	0	0	0	0	0	0
Scp1	0	0	0	-1	0	0	0	0	0	0	0	0	0,991615294	0	0	0
Mlc2	0	0	0	-0,97	1	0	0	0	1,02	0	0	0	0	0	0	0
CG1544	0	0	0	-0,93	0	0	0	-0,79	0	0	0	0	0	0	0	0
Neurochondrin	0	0	0	-0,91	0,76	0	0	0	0	0	0	0	0,626181012	0	0	0
lncRNA:CR44263	0	0	0	-0,84	0	0	0	0	0	0	0	0	0	0	0	0
CG3831	0	0	0	-0,53	0	0	0	0	0	0	0	0	0	0	0	0
DptB	0	0	0	0	2,65	0	1,12	0	0	0	0	0	0	0	0	0
AttC	0	0	0	0	2,08	0	0	0	0	0	0	0	0	0	0	0
edin	0	0	0	0	1,98	0	0	0	0	0	0	0	0	0	0	0
AttD	0	0	0	0	1,83	0	0,7	0	0	0	0	0	0	0	0	0
fln	0	0	0	0	1,53	0	0	0	1,41	0	0	0	0	0	0	0
Lmpt	0	0	0	0	1,5	0	0	0	1,29	0	0	0	0	0	0	0
TpnC4	0	0	0	0	1,45	0	0	0	1,14	0	0	0	0	0	0	0
CG43897	0	0	0	0	1,44	0	0	0	1,66	0	0	0	0,744853095	0	0	0
CG18420	0	0	0	0	1,44	0	0,89	0	0	0	0	0	0	0	1,18	0
Zasp67	0	0	0	0	1,42	0	0	0	0,94	0	0	0	0	0	0	0
Strn-Mlck	0	0	0	0	1,41	0	0	0	1,12	0	0	0	0,811465976	0	0	0
bt	0	0	0	0	1,41	0	0	0	1,27	0	0	0	0,772066798	0	0	0
up	0	0	0	0	1,41	0	0	0	1,23	0	0	0	0	0	0	0
Unc-89	0	0	0	0	1,4	0	0	0	1,17	0	0	0	0,758041484	0	0	0
CG11854	0	0	0	0	1,39	0	0	0	0	0	0	0	0	0	0	0
Zasp52	0	0	0	0	1,37	0	0	0	1,42	0	0	0	0,557296546	0	0	0
frac	0	0	0	0	1,36	0	0	0	0	0	0	0	0,988180664	0	0	0
CG5687	0	0	0	0	1,35	0	0	0	0	0	0	0	0,580433336	0	0	0
FarO	0	0	0	0	1,32	0	0	0	0	0	0	0	0	0	0	0
GstS1	0	0	0	0	1,31	0	0	0	0	0	0	0	0	0	0	0
Mpcp1	0	0	0	0	1,31	0	0	0	1,35	0	0	0	0	0	0	0
CG4017	0	0	0	0	1,31	0	0	0	0	0	0	0	0	0	0	0
pirk	0	0	0	0	1,28	0	0	0	0	0	0	0	0	0	0	0
CG8888	0	0	0	0	1,26	0	0	0	0	0	0	0	0	0	0	0
CG18304	0	0	0	0	1,25	0	0	0	1,05	0	0	0	0	0	0	0
eEF1alpha2	0	0	0	0	1,23	0	0	0	1,27	0	0	0	0	0	0	0
l(2)01289	0	0	0	0	1,21	0	0	0	0,72	0	0	0	0	0	0	0
CG31140	0	0	0	0	1,21	0	0	0	0	0	0	0	0	0	0	0
CG32333	0	0	0	0	1,2	0	0	0	0,85	0	0	0	0	0	0	0
Uro	0	0	0	0	1,2	0	0	0	0	0	0	0	0	0	0	0
LUBEL	0	0	0	0	1,19	0	0	0	0,9	0	0	0	0,558981585	0	0	0
Mhc	0	0	0	0	1,18	0	0	0	1,2	0	0	0	0	0	0	0
Ance-3	0	0	0	0	1,18	0	0	0	0	0	0	0	0	0	0	0
CG15617	0	0	0	0	1,18	0	0	0	1,51	0	0	0	0	0	0	0
Nckx30C	0	0	0	0	1,16	0	0	0	0	0	0	0	0	0	0	0
Pkcdelta	0	0	0	0	1,16	0	0	0	0	0	0	0	0,501222008	0	0	0
CG1136	0	0	0	0	1,15	0	0	0	0	0	0	0	0,622633765	0	0	0
CG9400	0	0	0	0	1,15	0	0	0	0	0	0	0	0	0	0	0
CG15043	0	0	0	0	1,15	0	0	0	0	0	0	0	0	0	0	0
RyR	0	0	0	0	1,14	0	0	0	0	0	0	0	0,620921865	0	0	0
Gpo1	0	0	0	0	1,14	0	0	0	1,05	0	0	0	0,705602855	0	0	0
CG13311	0	0	0	0	1,13	0	0	0	0	0	0	0	0	0	0	0
clumsy	0	0	0	0	1,13	0	0	0	1,09	0	0	0	0,645096528	0	0	0
CG9812	0	0	0	0	1,12	0	0	0	0	0	0	0	0,895346697	0	0	0
CG1674	0	0	0	0	1,12	0	0	0	0,96	0	0	0	0,885912622	0	0	0
CG32521	0	0	0	0	1,11	0	0	0	0	0	0	0	0	0	0	0
CG34462	0	0	0	0	1,11	0	0	0	0	0	0	0	0	0	0	0
yellow-b	0	0	0	0	1,11	0	0	0	0	0	0	0	0	0	0	0
ds	0	0	0	0	1,11	0	0	0	0	0	0	0	0	0	0	0
Hsc70-1	0	0	0	0	1,1	0	0	0	0,86	0	0	0	0,805793605	0	0	0
Octalpha2R	0	0	0	0	1,1	0	0	0	0	0	0	0	0	0	0	0
brp	0	0	0	0	1,09	0	0	0	0	0	0	0	0	0	0	0
sals	0	0	0	0	1,09	0	0	0	0	0	0	0	0,582329853	0	0	0
Shaw	0	0	0	0	1,09	0	0	0	0	0	0	0	0	0	0	0
Mlp60A	0	0	0	0	1,07	0	0	0	0,85	0	0	0	0,645620089	0	0	0
CG10505	0	0	0	0	1,07	0	0	0	0	0	0	0	0	0	0	0
